Zeit	spH	spO2	NStirrer	sTR	sCO2	sO2	FAirIn	sVR	Zeit_FG	FGlucose	Zeit_FN	Fstickstoff
02:00:00.576000	7.1	10.3	500.0	20.0	1.9	9.1	9.0	2.1	2024-10-1308:37:12	2.0	2024-10-1308:37:12	1.0
02:02:00.586000	7.1	10.3	500.0	20.0	1.9	9.1	9.0	2.3	2024-10-1308:37:17	2.0	2024-10-1308:37:17	1.0
02:04:00.595000	7.1	10.3	500.0	20.0	1.9	9.1	9.0	2.6	2024-10-1308:37:22	2.0	2024-10-1308:37:22	1.0
02:06:00.605000	7.1	10.3	500.0	20.0	1.9	9.1	9.0	2.8	2024-10-1308:37:27	2.0	2024-10-1308:37:27	1.0
02:08:00.614000	7.1	10.3	500.0	20.0	1.9	9.1	9.0	3.1	2024-10-1308:37:32	2.0	2024-10-1308:37:32	1.0
02:10:00.624000	7.1	10.3	500.0	20.0	1.9	9.1	9.0	3.3	2024-10-1308:37:37	2.0	2024-10-1308:37:37	1.0
02:12:00.634000	7.1	10.3	500.0	20.0	1.9	9.1	9.0	3.6	2024-10-1308:37:42	2.0	2024-10-1308:37:42	1.0
02:14:00.643000	7.1	10.3	500.0	20.0	1.9	9.1	9.0	3.8	2024-10-1308:37:47	2.0	2024-10-1308:37:47	1.0
02:16:00.653000	7.1	10.3	500.0	20.0	1.9	9.1	9.0	4.1	2024-10-1308:37:52	2.0	2024-10-1308:37:52	1.0
02:18:00.662000	7.1	10.3	500.0	20.0	1.9	9.1	9.0	4.3	2024-10-1308:37:57	2.0	2024-10-1308:37:57	1.0
02:20:00.672000	7.1	10.3	500.0	20.0	1.9	9.1	9.0	4.6	2024-10-1308:38:02	2.0	2024-10-1308:38:02	1.0
02:22:00.682000	7.1	10.3	500.0	20.0	1.9	9.1	9.0	4.8	2024-10-1308:38:07	2.0	2024-10-1308:38:07	1.0
02:24:00.691000	7.1	10.3	500.0	20.0	1.9	9.1	9.0	5.0	2024-10-1308:38:12	2.0	2024-10-1308:38:12	1.0
02:26:00.701000	7.1	10.3	500.0	20.0	1.9	9.1	9.0	5.1	2024-10-1308:38:17	2.0	2024-10-1308:38:17	1.0
02:28:00.710000	7.1	10.3	500.0	20.0	1.9	9.1	9.0	5.1	2024-10-1308:38:22	2.0	2024-10-1308:38:22	1.0
02:30:00.720000	7.1	10.3	500.0	20.0	1.9	9.1	9.0	5.1	2024-10-1308:38:27	2.0	2024-10-1308:38:27	1.0
02:32:00.730000	7.1	10.3	500.0	20.0	1.9	9.1	9.0	5.1	2024-10-1308:38:32	2.0	2024-10-1308:38:32	1.0
02:34:00.739000	7.1	10.3	500.0	20.0	1.9	9.1	9.0	5.1	2024-10-1308:38:37	2.0	2024-10-1308:38:37	1.0
02:36:00.749000	7.1	10.3	500.0	20.0	1.9	9.1	9.0	5.1	2024-10-1308:38:42	2.0	2024-10-1308:38:42	1.0
02:38:00.758000	7.1	10.3	500.0	20.0	1.9	9.1	9.0	5.1	2024-10-1308:38:47	2.0	2024-10-1308:38:47	1.0
02:40:00.768000	7.1	10.3	500.0	20.0	1.9	9.1	9.0	5.1	2024-10-1308:38:52	2.0	2024-10-1308:38:52	1.0
02:42:00.778000	7.1	10.3	500.0	20.1	1.9	9.1	9.0	5.1	2024-10-1308:38:57	2.0	2024-10-1308:38:57	1.0
02:44:00.787000	7.1	10.3	500.0	20.1	1.9	9.1	9.0	5.1	2024-10-1308:39:02	2.0	2024-10-1308:39:02	1.0
02:46:00.797000	7.1	10.3	500.0	20.2	1.9	9.1	9.0	5.1	2024-10-1308:39:07	2.0	2024-10-1308:39:07	1.0
02:48:00.806000	7.1	10.3	500.0	20.2	1.9	9.1	9.0	5.1	2024-10-1308:39:12	2.0	2024-10-1308:39:12	1.0
02:50:00.816000	7.1	10.3	500.0	20.3	1.9	9.1	9.0	5.1	2024-10-1308:39:17	2.0	2024-10-1308:39:17	1.0
02:52:00.826000	7.1	10.3	500.0	20.3	1.9	9.1	9.0	5.1	2024-10-1308:39:22	2.0	2024-10-1308:39:22	1.0
02:54:00.835000	7.1	10.3	500.0	20.4	1.9	9.1	9.0	5.1	2024-10-1308:39:27	2.0	2024-10-1308:39:27	1.0
02:56:00.845000	7.1	10.3	500.0	20.4	1.9	9.1	9.0	5.1	2024-10-1308:39:32	2.0	2024-10-1308:39:32	1.0
02:58:00.854000	7.1	10.3	500.0	20.5	1.9	9.1	9.0	5.1	2024-10-1308:39:37	2.0	2024-10-1308:39:37	1.0
03:00:00.864000	7.1	10.3	500.0	20.5	1.9	9.1	9.0	5.1	2024-10-1308:39:42	2.0	2024-10-1308:39:42	1.0
03:02:00.874000	7.1	10.3	500.0	20.6	1.9	9.1	9.0	5.1	2024-10-1308:39:47	2.0	2024-10-1308:39:47	1.0
